classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,3506.97651787987,-12333899.00352128,4636587.828387257,1404.1295390151136,0.0810559243152514,1,1,216
Ground,Point Cloud,3505.224797823932,-12333899.008351544,4636585.587145339,1404.1086078765163,0.0754406042572671,1,1,216
Ground,Point Cloud,3505.5947241061367,-12333899.109787062,4636586.060511086,1404.1086078765163,0.07910276951247425,1,1,216
Ground,Point Cloud,3506.3257685173303,-12333899.311048009,4636586.995971973,1404.1295390151136,0.08374151216906996,1,1,216
Ground,Point Cloud,3506.6755601130426,-12333899.412483528,4636587.443576325,1404.1198784896073,0.0822766460669871,1,1,216
Ground,Point Cloud,3505.0748262996785,-12333899.467226503,4636585.395544917,1404.0892868255037,0.07348744945448997,1,1,216
Ground,Point Cloud,3504.725027762819,-12333899.380281774,4636584.947940566,1404.0892868255037,0.07788204776073854,1,1,216
Ground,Point Cloud,3504.375236167107,-12333899.278846256,4636584.5003362205,1404.079626299997,0.08056763561455711,1,1,216
Ground,Point Cloud,3504.0342534971423,-12333899.177410739,4636584.064002484,1404.0490346358933,0.0856946669718471,1,1,216
Ground,Point Cloud,3503.694522303529,-12333899.090466008,4636583.629278835,1404.0087824462835,0.0754406042572671,1,1,216
Ground,Point Cloud,3501.8333692443557,-12333898.992250668,4636581.247959297,1403.8687048264405,0.0725108720531014,1,1,216
Ground,Point Cloud,3502.173099666834,-12333899.080805484,4636581.682682947,1403.9089570160506,0.07373159380483711,1,1,216
Ground,Point Cloud,3502.502762746066,-12333899.1693603,4636582.104525896,1403.939548680154,0.0810559243152514,1,1,216
Ground,Point Cloud,3502.8336780723184,-12333899.270795818,4636582.527978929,1403.9685302566734,0.08252079041733425,1,1,216
Ground,Point Cloud,3503.1545322258025,-12333899.359350637,4636582.938551263,1403.9894613952706,0.0754406042572671,1,1,216
Ground,Point Cloud,3503.4741287329234,-12333899.446295366,4636583.347513509,1404.0087824462835,0.06884870679789426,1,1,216
Ground,Point Cloud,3501.733715929091,-12333899.48976773,4636581.12076238,1403.818792111324,0.07861448081177996,1,1,216
Ground,Point Cloud,3501.412861775607,-12333899.401212914,4636580.710190046,1403.7994710603114,0.06762798504615854,1,1,216
Ground,Point Cloud,3501.08319792524,-12333899.314268183,4636580.288347099,1403.7495583451948,0.06762798504615854,1,1,216
Ground,Point Cloud,3500.432686863467,-12333899.124277849,4636579.455931815,1403.6690539659749,0.07324330510414283,1,1,216
Ground,Point Cloud,3500.101765366271,-12333899.035723032,4636579.032478781,1403.5998201998455,0.06762798504615854,1,1,216
Ground,Point Cloud,3516.121342952829,-12333899.208002403,4636599.5288937325,1403.9475991180761,0.08178835736629282,1,1,216
Unclassified,Point Cloud,3513.6096271616407,-12333899.027672594,4636596.315158916,1404.1086078765163,0.08130006866559854,1,1,216
Ground,Point Cloud,3511.1079386109486,-12333898.93106734,4636593.114304797,1404.1279289275292,0.09130998702983138,1,1,216
Ground,Point Cloud,3508.414695989806,-12333899.407653265,4636589.668717366,1404.1343692778669,0.07812619211108568,1,1,216
Ground,Point Cloud,3505.9533230853267,-12333899.214442754,4636586.519386053,1404.1086078765163,0.08691538872358281,1,1,216
Ground,Point Cloud,3503.340955453925,-12333898.989030492,4636583.176844224,1403.999121920777,0.0725108720531014,1,1,216
Ground,Point Cloud,3500.74850657396,-12333899.214442754,4636579.8600638015,1403.6964254549096,0.07324330510414283,1,1,216
Ground,Point Cloud,0.1255628646031255,-12333898.398128347,4637645.446618823,1410.019239398854,0.0725108720531014,1,1,217
Ground,Point Cloud,0.6090310170548037,-12333897.784684978,4637645.688131957,1410.0288999243605,0.06713969634546425,1,1,217
Ground,Point Cloud,0.6444298764399718,-12333897.734772265,4637645.253408312,1409.9886477347507,0.06933699549858854,1,1,217
Ground,Point Cloud,0.9687795529753203,-12333897.325810017,4637645.649489857,1410.0691521139706,0.07641718165865569,1,1,217
Ground,Point Cloud,1.5275811213359702,-12333896.612541217,4637645.544834163,1409.9999183478412,0.0690928511482414,1,1,217
Ground,Point Cloud,1.8552204700390575,-12333896.192308359,4637645.300100853,1409.9999183478412,0.0788586251621271,1,1,217
Unclassified,Point Cloud,1.8199472163396422,-12333896.242221072,4637645.749315289,1410.0594915884642,0.07983520256351567,1,1,217
Ground,Point Cloud,2.240104138632887,-12333895.706061907,4637645.683301694,1409.9886477347507,0.0776379034103914,1,1,217
Ground,Point Cloud,2.2757262936938787,-12333895.656149192,4637645.274339452,1409.9483955451406,0.07495231555657282,1,1,217
Ground,Point Cloud,5.563083990884479,-12333891.473141648,4637645.8410902815,1409.9371249320495,0.07104600595101854,1,1,217
Ground,Point Cloud,6.860543731381767,-12333889.817971611,4637645.683301694,1410.2688029744365,0.0690928511482414,1,1,217
Ground,Point Cloud,8.001893813590868,-12333888.362452434,4637645.589916616,1410.439472258383,0.07055771725032425,1,1,217
Ground,Point Cloud,9.143284892539668,-12333886.910153434,4637645.792787653,1410.4072705066949,0.06616311894407569,1,1,217
Unclassified,Point Cloud,2.5168844702930073,-12333895.35023255,4637645.4015363725,1409.9789872092442,0.07275501640344854,1,1,217
Ground,Point Cloud,2.9202733062775224,-12333894.839834787,4637645.73321441,1409.938735019634,0.06274509803921569,1,1,217
Ground,Point Cloud,2.965556478491635,-12333894.77704137,4637645.272729361,1409.8888223045176,0.06933699549858854,1,1,217
Ground,Point Cloud,10.343200302464538,-12333885.38057023,4637645.750925376,1410.487774885915,0.07324330510414283,1,1,217
Ground,Point Cloud,11.78734507199988,-12333883.541850207,4637645.899053434,1410.7292880235752,0.07788204776073854,1,1,217
Ground,Point Cloud,3.2003127938587568,-12333894.482395343,4637645.681691611,1409.9596661582314,0.07568474860761425,1,1,217
Ground,Point Cloud,3.7077947959624,-12333893.833530046,4637645.486871011,1409.898482830024,0.06665140764476997,1,1,217
Ground,Point Cloud,13.10401519525476,-12333881.86091877,4637645.625338544,1410.79691170212,0.07031357289997711,1,1,217
