subsets,resolution,astar,total,num_points,cost,path_length
1600.000000,4000.000000,95.822330,95.822436,11161732.000000,1212.134683,888.202300
1700.000000,4000.000000,100.274446,100.274550,11161732.000000,1212.134683,888.202300
1800.000000,4000.000000,106.980389,106.980483,11161732.000000,1212.134683,888.202300
1900.000000,4000.000000,111.564760,111.564869,11161732.000000,1212.134683,888.202300
2000.000000,4000.000000,117.169597,117.169715,11161732.000000,1212.134683,888.202300
2100.000000,4000.000000,122.937980,122.938075,11161732.000000,1205.578522,905.871789
2200.000000,4000.000000,129.750453,129.750574,11161732.000000,1205.578522,905.871789
2300.000000,4000.000000,134.365395,134.365481,11161732.000000,1205.578522,905.871789
2400.000000,4000.000000,140.288128,140.288227,11161732.000000,1205.578522,905.871789
2500.000000,4000.000000,146.047929,146.048015,11161732.000000,1205.578522,905.871789
2600.000000,4000.000000,151.715855,151.715978,11161732.000000,1205.578522,905.871789
2700.000000,4000.000000,159.736451,159.736561,11161732.000000,1205.578522,905.871789
2800.000000,4000.000000,164.570207,164.570420,11161732.000000,1230.816847,874.408109
2900.000000,4000.000000,168.779910,168.779999,11161732.000000,1230.816847,874.408109
3000.000000,4000.000000,174.384078,174.384171,11161732.000000,1230.816847,874.408109
3100.000000,4000.000000,179.854764,179.854848,11161732.000000,1230.816847,874.408109
3200.000000,4000.000000,187.035156,187.035255,11161732.000000,1230.816847,874.408109
3300.000000,4000.000000,191.931580,191.931664,11161732.000000,1230.816847,874.408109
3400.000000,4000.000000,198.816934,198.817048,11161732.000000,1230.816847,874.408109
3500.000000,4000.000000,202.871895,202.871999,11161732.000000,1230.816847,874.408109
3600.000000,4000.000000,209.920429,209.920520,11161732.000000,1237.710650,884.890185
3700.000000,4000.000000,214.041074,214.041232,11161732.000000,1237.710650,884.890185
3800.000000,4000.000000,219.831392,219.831504,11161732.000000,1237.710650,884.890185
3900.000000,4000.000000,226.628141,226.628223,11161732.000000,1237.710650,884.890185
4000.000000,4000.000000,231.168007,231.168132,11161732.000000,1237.710650,884.890185
